strain	virus	date	region	country	gisaid_epi_isl
hCoV-19/SouthAfrica/KRISP-K002729/2020	ncov	2020-08-14	Africa	South Africa	EPI_ISL_529728
hCoV-19/Australia/VIC6348/2020	ncov	2020-07-22	Oceania	Australia	EPI_ISL_518328
hCoV-19/Australia/VIC5365/2020	ncov	2020-07-18	Oceania	Australia	EPI_ISL_520128
hCoV-19/FrenchGuiana/IPP00595/2021	ncov	2021-01-07	South America	French Guiana	EPI_ISL_884003
hCoV-19/Australia/VIC10477/2020	ncov	2020-07-17	Oceania	Australia	EPI_ISL_562928
hCoV-19/Ghana/WACCBIP-GS03/2020	ncov	2020-07-20	Africa	Ghana	EPI_ISL_884828
hCoV-19/Australia/VIC8297/2020	ncov	2020-08-15	Oceania	Australia	EPI_ISL_564929
hCoV-19/SouthAfrica/KRISP-K001345/2020	ncov	2020-07-13	Africa	South Africa	EPI_ISL_515830
hCoV-19/SouthAfrica/KRISP-K002733/2020	ncov	2020-08-16	Africa	South Africa	EPI_ISL_529731
hCoV-19/Australia/VIC15735/2020	ncov	2020-08-02	Oceania	Australia	EPI_ISL_593431
hCoV-19/Egypt/CUNCI-HGC12I053/2021	ncov	2021-01-09	Africa	Egypt	EPI_ISL_890231
hCoV-19/Japan/PG-13668/2020	ncov	2020-12-03	Asia	Japan	EPI_ISL_895332
hCoV-19/Japan/PG-15618/2020	ncov	2020-09-11	Asia	Japan	EPI_ISL_894433
hCoV-19/Japan/PG-15790/2020	ncov	2020-11-24	Asia	Japan	EPI_ISL_894300
hCoV-19/Gambia/S-418/2020	ncov	2020-09-22	Africa	Gambia	EPI_ISL_811034
hCoV-19/Australia/VIC5734/2020	ncov	2020-07-20	Oceania	Australia	EPI_ISL_518535
hCoV-19/Japan/PG-12621/2020	ncov	2020-11-14	Asia	Japan	EPI_ISL_897035
hCoV-19/Australia/VIC4341/2020	ncov	2020-07-13	Oceania	Australia	EPI_ISL_519637
hCoV-19/Japan/PG-9312/2020	ncov	2020-10-01	Asia	Japan	EPI_ISL_902025
hCoV-19/Jordan/IR-ALSR-5199/2020	ncov	2020-10-11	Asia	Jordan	EPI_ISL_730437
hCoV-19/Denmark/DCGC-33327/2021	ncov	2021-01-11	Europe	Denmark	EPI_ISL_870337
hCoV-19/Australia/VIC3825/2020	ncov	2020-07-09	Oceania	Australia	EPI_ISL_520538
hCoV-19/Australia/QLD1051/2020	ncov	2020-09-02	Oceania	Australia	EPI_ISL_576138
hCoV-19/Australia/VIC3131/2020	ncov	2020-07-07	Oceania	Australia	EPI_ISL_520838
hCoV-19/Japan/PG-8892/2020	ncov	2020-08-19	Asia	Japan	EPI_ISL_686438
hCoV-19/Australia/NSW796/2020	ncov	2020-08-04	Oceania	Australia	EPI_ISL_526138
hCoV-19/Uganda/UG131/2020	ncov	2020-10-01	Africa	Uganda	EPI_ISL_738038
hCoV-19/Japan/IC-0429/2020	ncov	2020-11-28	Asia	Japan	EPI_ISL_768638
hCoV-19/Bangladesh/CHRF-0115/2020	ncov	2020-12-10	Asia	Bangladesh	EPI_ISL_906113
hCoV-19/Australia/VIC5845/2020	ncov	2020-07-22	Oceania	Australia	EPI_ISL_518639
hCoV-19/Australia/VIC3593/2020	ncov	2020-07-09	Oceania	Australia	EPI_ISL_520339
hCoV-19/Australia/VIC4443/2020	ncov	2020-07-16	Oceania	Australia	EPI_ISL_519739
hCoV-19/Australia/VIC8989/2020	ncov	2020-07-27	Oceania	Australia	EPI_ISL_565339
hCoV-19/Australia/VIC17114/2020	ncov	2020-08-11	Oceania	Australia	EPI_ISL_663739
hCoV-19/Japan/PG-5615/2020	ncov	2020-07-31	Asia	Japan	EPI_ISL_688740
hCoV-19/Australia/VIC17775/2020	ncov	2020-08-29	Oceania	Australia	EPI_ISL_779440
hCoV-19/Australia/NSW1127/2020	ncov	2020-09-08	Oceania	Australia	EPI_ISL_593741
hCoV-19/Australia/VIC5966/2020	ncov	2020-07-21	Oceania	Australia	EPI_ISL_518741
hCoV-19/England/CAMC-A64E9D/2020	ncov	2020-10-08	Europe	United Kingdom	EPI_ISL_609142
hCoV-19/CostaRica/INC-0102/2020	ncov	2020-07-15	North America	Costa Rica	EPI_ISL_682243
hCoV-19/Australia/VIC11751/2020	ncov	2020-07-24	Oceania	Australia	EPI_ISL_591843
hCoV-19/Japan/PG-5137/2020	ncov	2020-08-15	Asia	Japan	EPI_ISL_690244
hCoV-19/SouthKorea/KDCA0460/2020	ncov	2020-11-17	Asia	South Korea	EPI_ISL_760244
hCoV-19/Wales/PHWC-4AB9AE/2020	ncov	2020-12-19	Europe	United Kingdom	EPI_ISL_823444
hCoV-19/Australia/VIC4978/2020	ncov	2020-07-13	Oceania	Australia	EPI_ISL_519344
hCoV-19/Australia/VIC16565/2020	ncov	2020-08-10	Oceania	Australia	EPI_ISL_640445
hCoV-19/Australia/VIC9634/2020	ncov	2020-08-21	Oceania	Australia	EPI_ISL_562745
hCoV-19/Japan/PG-15528/2020	ncov	2020-12-14	Asia	Japan	EPI_ISL_894345
hCoV-19/Egypt/CUNCI-HGC9I027/2020	ncov	2020-12-25	Africa	Egypt	EPI_ISL_857345
hCoV-19/CostaRica/INC-0078/2020	ncov	2020-07-03	North America	Costa Rica	EPI_ISL_527746
hCoV-19/Australia/QLD1005/2020	ncov	2020-08-20	Oceania	Australia	EPI_ISL_530246
hCoV-19/Australia/VIC3834/2020	ncov	2020-07-12	Oceania	Australia	EPI_ISL_520547
hCoV-19/SouthAfrica/NHLS-UCT-GS-1525/2020	ncov	2020-08-12	Africa	South Africa	EPI_ISL_700447
hCoV-19/Japan/PG-7546/2020	ncov	2020-08-24	Asia	Japan	EPI_ISL_686648
hCoV-19/Australia/VIC13271/2020	ncov	2020-07-25	Oceania	Australia	EPI_ISL_563648
hCoV-19/Australia/VIC7339/2020	ncov	2020-08-07	Oceania	Australia	EPI_ISL_564348
hCoV-19/Australia/VIC17784/2020	ncov	2020-07-27	Oceania	Australia	EPI_ISL_779449
hCoV-19/Australia/VIC5975/2020	ncov	2020-07-20	Oceania	Australia	EPI_ISL_518750
hCoV-19/CostaRica/INC-0110/2020	ncov	2020-07-21	North America	Costa Rica	EPI_ISL_682250
hCoV-19/Egypt/CCHE57357-P-03/2020	ncov	2020-08-11	Africa	Egypt	EPI_ISL_812851
hCoV-19/CostaRica/INC-0083/2020	ncov	2020-07-06	North America	Costa Rica	EPI_ISL_527751
hCoV-19/SouthAfrica/KRISP-K002688/2020	ncov	2020-08-03	Africa	South Africa	EPI_ISL_535551
hCoV-19/Ecuador/USFQ-585/2021	ncov	2021-01-14	South America	Ecuador	EPI_ISL_877551
hCoV-19/Australia/VIC13554/2020	ncov	2020-08-02	Oceania	Australia	EPI_ISL_563751
hCoV-19/USA/WI-UW-1779/2020	ncov	2020-09-14	North America	USA	EPI_ISL_605651
hCoV-19/CostaRica/INC-0112/2020	ncov	2020-07-21	North America	Costa Rica	EPI_ISL_682252
hCoV-19/USA/OR-OHSU-5865/2020	ncov	2020-11-24	North America	USA	EPI_ISL_861952
hCoV-19/Australia/VIC12306/2020	ncov	2020-08-10	Oceania	Australia	EPI_ISL_591952
hCoV-19/SouthAfrica/KRISP-K001104/2020	ncov	2020-07-13	Africa	South Africa	EPI_ISL_509353
hCoV-19/Australia/VIC9225/2020	ncov	2020-08-20	Oceania	Australia	EPI_ISL_565453
hCoV-19/Australia/VIC9686/2020	ncov	2020-08-24	Oceania	Australia	EPI_ISL_565653
hCoV-19/Australia/VIC3961/2020	ncov	2020-07-15	Oceania	Australia	EPI_ISL_519354
hCoV-19/Australia/VIC5051/2020	ncov	2020-07-18	Oceania	Australia	EPI_ISL_519854
hCoV-19/Australia/NSW711/2020	ncov	2020-07-26	Oceania	Australia	EPI_ISL_513354
hCoV-19/Australia/VIC4459/2020	ncov	2020-07-16	Oceania	Australia	EPI_ISL_519755
hCoV-19/CostaRica/INC-0087/2020	ncov	2020-07-11	North America	Costa Rica	EPI_ISL_527755
hCoV-19/CostaRica/INC-0115/2020	ncov	2020-07-21	North America	Costa Rica	EPI_ISL_682255
hCoV-19/Australia/NSW874/2020	ncov	2020-07-25	Oceania	Australia	EPI_ISL_544955
hCoV-19/Australia/VIC6939/2020	ncov	2020-07-21	Oceania	Australia	EPI_ISL_564156
hCoV-19/India/TG-CCMB-X43/2020	ncov	2020-07-14	Asia	India	EPI_ISL_528855
hCoV-19/CostaRica/INC-0088/2020	ncov	2020-07-10	North America	Costa Rica	EPI_ISL_527756
hCoV-19/USA/TX-HMH-MCoV-10847/2020	ncov	2020-07-05	North America	USA	EPI_ISL_789657
hCoV-19/Australia/VIC15786/2020	ncov	2020-08-12	Oceania	Australia	EPI_ISL_593458
hCoV-19/Australia/VIC17795/2020	ncov	2020-07-22	Oceania	Australia	EPI_ISL_779458
hCoV-19/Australia/VIC7936/2020	ncov	2020-08-17	Oceania	Australia	EPI_ISL_564758
hCoV-19/Japan/PG-4722/2020	ncov	2020-07-29	Asia	Japan	EPI_ISL_689858
hCoV-19/Brazil/SP-919/2020	ncov	2020-12-13	South America	Brazil	EPI_ISL_833159
hCoV-19/Australia/VIC6481/2020	ncov	2020-07-23	Oceania	Australia	EPI_ISL_521259
hCoV-19/Australia/VIC8349/2020	ncov	2020-08-07	Oceania	Australia	EPI_ISL_564959
hCoV-19/Japan/PG-4018/2020	ncov	2020-07-20	Asia	Japan	EPI_ISL_692259
hCoV-19/Australia/VIC4548/2020	ncov	2020-07-11	Oceania	Australia	EPI_ISL_518959
hCoV-19/England/QEUH-B677F8/2020	ncov	2020-11-09	Europe	United Kingdom	EPI_ISL_655660
hCoV-19/SouthAfrica/KRISP-K002764/2020	ncov	2020-08-12	Africa	South Africa	EPI_ISL_529760
hCoV-19/SouthAfrica/KRISP-K003545/2020	ncov	2020-09-25	Africa	South Africa	EPI_ISL_602861
hCoV-19/USA/NY-NYCPHL-001578/2020	ncov	2020-12-03	North America	USA	EPI_ISL_823962
hCoV-19/NewZealand/20CV0588/2020	ncov	2020-11-19	Oceania	New Zealand	EPI_ISL_661262
hCoV-19/Australia/VIC7515/2020	ncov	2020-07-23	Oceania	Australia	EPI_ISL_564462
hCoV-19/SouthAfrica/KRISP-K001378/2020	ncov	2020-07-17	Africa	South Africa	EPI_ISL_515863
hCoV-19/Japan/PG-4022/2020	ncov	2020-07-20	Asia	Japan	EPI_ISL_692263
hCoV-19/CostaRica/INC-0124/2020	ncov	2020-08-08	North America	Costa Rica	EPI_ISL_682263
hCoV-19/Australia/VIC6485/2020	ncov	2020-07-21	Oceania	Australia	EPI_ISL_521263
hCoV-19/SouthAfrica/KRISP-K004735/2020	ncov	2020-10-21	Africa	South Africa	EPI_ISL_660263
hCoV-19/Australia/VIC13312/2020	ncov	2020-07-26	Oceania	Australia	EPI_ISL_563664
hCoV-19/Japan/PG-8063/2020	ncov	2020-07-20	Asia	Japan	EPI_ISL_687164
hCoV-19/Congo/Q001C099AU_2101-TM-r1-013/2020	ncov	2020-12-24	Africa	Republic of the Congo	EPI_ISL_912364
hCoV-19/Australia/VIC7242/2020	ncov	2020-07-27	Oceania	Australia	EPI_ISL_564308
hCoV-19/USA/CA-LACPHL-AF00027/2020	ncov	2020-12-20	North America	USA	EPI_ISL_754110
hCoV-19/Japan/PG-9806/2020	ncov	2020-10-11	Asia	Japan	EPI_ISL_902516
hCoV-19/Brazil/PB-FIOCRUZ-29623/2020	ncov	2020-09-16	South America	Brazil	EPI_ISL_792613
hCoV-19/Australia/VIC16945/2020	ncov	2020-08-04	Oceania	Australia	EPI_ISL_663655
hCoV-19/Australia/VIC17088/2020	ncov	2020-08-07	Oceania	Australia	EPI_ISL_663725
hCoV-19/SouthAfrica/NHLS-UCT-GS-0620/2020	ncov	2020-10-22	Africa	South Africa	EPI_ISL_700564
hCoV-19/Japan/PG-4492/2020	ncov	2020-07-27	Asia	Japan	EPI_ISL_692715
hCoV-19/Australia/VIC14272/2020	ncov	2020-08-03	Oceania	Australia	EPI_ISL_592428
hCoV-19/Australia/VIC6235/2020	ncov	2020-07-21	Oceania	Australia	EPI_ISL_518229
hCoV-19/Australia/VIC16243/2020	ncov	2020-09-07	Oceania	Australia	EPI_ISL_640665
hCoV-19/Australia/VIC4883/2020	ncov	2020-07-13	Oceania	Australia	EPI_ISL_519265
hCoV-19/Russia/MOW-RII-MH2906S/2020	ncov	2020-09-27	Europe	Russia	EPI_ISL_733065
hCoV-19/Guadeloupe/IPP06227/2021	ncov	2021-03-12	Caribbean	Guadeloupe	EPI_ISL_1416966
hCoV-19/Germany/BY-RKI-I-045542/2021	ncov	2021-03-15	Europe	Germany	EPI_ISL_1352966
hCoV-19/Curacao/CW-RIVM-21716/2020	ncov	2020-12-18	Caribbean	Curacao	EPI_ISL_1014566
hCoV-19/Denmark/DCGC-39592/2021	ncov	2021-02-01	Europe	Denmark	EPI_ISL_970996
hCoV-19/Argentina/PAIS-A0365/2020	ncov	2020-08-10	South America	Argentina	EPI_ISL_1396169
hCoV-19/Japan/PG-24708/2021	ncov	2021-01-17	Asia	Japan	EPI_ISL_1430178
hCoV-19/Wales/PHWC-4D8E6D/2021	ncov	2021-03-02	Europe	United Kingdom	EPI_ISL_1249546
hCoV-19/USA/NY-UB-00384/2020	ncov	2020-12-16	North America	USA	EPI_ISL_1009498
hCoV-19/Peru/LIM-INS-533/2020	ncov	2020-08-11	South America	Peru	EPI_ISL_1111070
hCoV-19/Curacao/CW-RIVM-21712/2020	ncov	2020-12-15	Caribbean	Curacao	EPI_ISL_1014570
hCoV-19/Aruba/AW-RIVM-11598/2021	ncov	2021-01-28	Caribbean	Aruba	EPI_ISL_1014623
hCoV-19/Aruba/AW-RIVM-11394/2021	ncov	2021-01-28	Caribbean	Aruba	EPI_ISL_1014663
hCoV-19/Germany/BAV-PL-virotum_KVX86/2020	ncov	2020-10-18	Europe	Germany	EPI_ISL_1373282
hCoV-19/Guadeloupe/IPP06256/2021	ncov	2021-02-26	Caribbean	Guadeloupe	EPI_ISL_1416983
hCoV-19/Curacao/CW-RIVM-11652/2021	ncov	2021-01-25	Caribbean	Curacao	EPI_ISL_1014583
hCoV-19/India/WB-KMC-57343/2021	ncov	2021-01-27	Asia	India	EPI_ISL_1419473
hCoV-19/SintMaarten/SX-RIVM-10827/2021	ncov	2021-01-21	Caribbean	Sint Maarten	EPI_ISL_1035239
hCoV-19/Curacao/CW-RIVM-13550/2021	ncov	2021-02-08	Caribbean	Curacao	EPI_ISL_1089992
hCoV-19/Cameroon/Yaounde-20V-58947/2020	ncov	2020-12-23	Africa	Cameroon	EPI_ISL_1257875
hCoV-19/SouthAfrica/KRISP-K010021/2020	ncov	2020-12-21	Africa	South Africa	EPI_ISL_1250486
hCoV-19/Switzerland/GE-33197249/2021	ncov	2021-02-06	Europe	Switzerland	EPI_ISL_1040228
hCoV-19/Japan/PG-27868/2021	ncov	2021-03-02	Asia	Japan	EPI_ISL_1432077
hCoV-19/Netherlands/NB-RIVM-11231/2021	ncov	2021-01-19	Europe	Netherlands	EPI_ISL_943378
hCoV-19/Italy/CAM-TIGEM-4690/2021	ncov	2021-01-22	Europe	Italy	EPI_ISL_1254778
hCoV-19/Guadeloupe/IPP06249/2021	ncov	2021-02-26	Caribbean	Guadeloupe	EPI_ISL_1416979
hCoV-19/Japan/PG-18264/2021	ncov	2021-01-05	Asia	Japan	EPI_ISL_1132079
hCoV-19/USA/AZ-ASPHL-3558/2021	ncov	2021-01-20	North America	USA	EPI_ISL_978379
hCoV-19/USA/NY-Wadsworth-21014034-01/2020	ncov	2020-12-28	North America	USA	EPI_ISL_1227280
hCoV-19/Belgium/UGent-3726/2021	ncov	2021-03-05	Europe	Belgium	EPI_ISL_1443382
hCoV-19/Chile/RM-217295/2020	ncov	2020-10-27	South America	Chile	EPI_ISL_1300482
hCoV-19/PuertoRico/PR-CDC-S141/2020	ncov	2020-12-17	Caribbean	Puerto Rico	EPI_ISL_1168666
hCoV-19/Japan/PG-21853/2021	ncov	2021-01-27	Asia	Japan	EPI_ISL_1426866
hCoV-19/Canada/BC-BCCDC-5422/2020	ncov	2020-09-30	North America	Canada	EPI_ISL_973966
hCoV-19/Israel/CVL-3210/2021	ncov	2021-01-20	Asia	Israel	EPI_ISL_1073453
hCoV-19/Aruba/AW-RIVM-11610/2021	ncov	2021-01-28	Caribbean	Aruba	EPI_ISL_1014612
hCoV-19/SintMaarten/SX-RIVM-13871/2021	ncov	2021-02-16	Caribbean	Sint Maarten	EPI_ISL_1090267
hCoV-19/Denmark/DCGC-41609/2021	ncov	2021-01-25	Europe	Denmark	EPI_ISL_973286
hCoV-19/Australia/VIC18199/2021	ncov	2021-01-30	Oceania	Australia	EPI_ISL_979356
hCoV-19/Bonaire/BQ-RIVM-15965/2021	ncov	2021-02-24	Caribbean	Bonaire	EPI_ISL_1232640
hCoV-19/Japan/PG-27351/2021	ncov	2021-01-23	Asia	Japan	EPI_ISL_1431440
hCoV-19/Mayotte/IPP02451/2021	ncov	2021-01-23	Africa	Mayotte	EPI_ISL_995368
hCoV-19/Ecuador/UEES-11588/2021	ncov	2021-03-05	South America	Ecuador	EPI_ISL_1443668
hCoV-19/Nigeria/BCVL-19041/2021	ncov	2021-01-11	Africa	Nigeria	EPI_ISL_985067
hCoV-19/Nigeria/BCVL-19098/2021	ncov	2021-01-12	Africa	Nigeria	EPI_ISL_985064
hCoV-19/Bahamas/33827/2020	ncov	2020-08-03	Caribbean	The Bahamas	EPI_ISL_1415411
hCoV-19/PuertoRico/PR-CDC-S101/2020	ncov	2020-09-04	Caribbean	Puerto Rico	EPI_ISL_940969
hCoV-19/England/CAMC-1234675/2021	ncov	2021-02-08	Europe	United Kingdom	EPI_ISL_986799
hCoV-19/England/ALDP-1197A57/2021	ncov	2021-01-26	Europe	United Kingdom	EPI_ISL_990176
hCoV-19/Curacao/CW-RIVM-21713/2020	ncov	2020-12-18	Caribbean	Curacao	EPI_ISL_1014569
hCoV-19/SintMaarten/SX-RIVM-13806/2021	ncov	2021-02-16	Caribbean	Sint Maarten	EPI_ISL_1089817
hCoV-19/Guadeloupe/IPP06230/2021	ncov	2021-03-01	Caribbean	Guadeloupe	EPI_ISL_1416969
hCoV-19/FrenchGuiana/IPP02885/2021	ncov	2021-01-28	South America	French Guiana	EPI_ISL_1001402
hCoV-19/USA/MA-CDC-LC0012269/2021	ncov	2021-01-29	North America	USA	EPI_ISL_1038370
hCoV-19/Japan/PG-20451/2020	ncov	2020-09-14	Asia	Japan	EPI_ISL_1125070
hCoV-19/Sweden/21-50837/2021	ncov	2021-01-25	Europe	Sweden	EPI_ISL_1008560
hCoV-19/Guadeloupe/IPP02966/2021	ncov	2021-01-29	Caribbean	Guadeloupe	EPI_ISL_1013422
hCoV-19/Mayotte/IPP03130/2021	ncov	2021-01-28	Africa	Mayotte	EPI_ISL_1013317
hCoV-19/Guadeloupe/IPP02961/2021	ncov	2021-01-30	Caribbean	Guadeloupe	EPI_ISL_1013214
hCoV-19/Guadeloupe/IPP02970/2021	ncov	2021-01-28	Caribbean	Guadeloupe	EPI_ISL_1013215
hCoV-19/Mayotte/IPP03159/2021	ncov	2021-01-29	Africa	Mayotte	EPI_ISL_1013334
hCoV-19/Mayotte/IPP00941/2021	ncov	2021-01-13	Africa	Mayotte	EPI_ISL_1013155
hCoV-19/Guadeloupe/IPP02984/2021	ncov	2021-01-26	Caribbean	Guadeloupe	EPI_ISL_1013236
hCoV-19/Curacao/CW-RIVM-11655/2021	ncov	2021-01-25	Caribbean	Curacao	EPI_ISL_1014580
hCoV-19/Aruba/AW-RIVM-11545/2021	ncov	2021-01-28	Caribbean	Aruba	EPI_ISL_1014280
hCoV-19/Aruba/AW-RIVM-11746/2021	ncov	2021-02-01	Caribbean	Aruba	EPI_ISL_1014278
hCoV-19/Aruba/AW-RIVM-11555/2021	ncov	2021-01-28	Caribbean	Aruba	EPI_ISL_1014279
hCoV-19/PuertoRico/PR-CDC-S103/2020	ncov	2020-09-02	Caribbean	Puerto Rico	EPI_ISL_940971
hCoV-19/USA/WI-UW-3216/2021	ncov	2021-01-27	North America	USA	EPI_ISL_1017811
hCoV-19/USA/WA-S4378/2021	ncov	2021-01-26	North America	USA	EPI_ISL_962471
hCoV-19/Denmark/DCGC-44949/2021	ncov	2021-01-11	Europe	Denmark	EPI_ISL_1025327
hCoV-19/Japan/PG-20910/2021	ncov	2021-01-25	Asia	Japan	EPI_ISL_1426072
hCoV-19/Aruba/AW-RIVM-15897/2021	ncov	2021-02-23	Caribbean	Aruba	EPI_ISL_1232572
hCoV-19/SintMaarten/SX-RIVM-13891/2021	ncov	2021-02-16	Caribbean	Sint Maarten	EPI_ISL_1090272
hCoV-19/PuertoRico/PR-CDC-S69/2020	ncov	2020-10-20	Caribbean	Puerto Rico	EPI_ISL_940942
hCoV-19/Rwanda/NRLNAT3018/2021	ncov	2021-01-11	Africa	Rwanda	EPI_ISL_1301773
hCoV-19/Aruba/AW-RIVM-13180/2021	ncov	2021-02-10	Caribbean	Aruba	EPI_ISL_1035773
hCoV-19/Japan/PG-25106/2021	ncov	2021-01-20	Asia	Japan	EPI_ISL_1430474
hCoV-19/SintMaarten/SX-RIVM-10804/2021	ncov	2021-01-21	Caribbean	Sint Maarten	EPI_ISL_1035246
hCoV-19/Curacao/CW-RIVM-21707/2020	ncov	2020-11-07	Caribbean	Curacao	EPI_ISL_1014575
hCoV-19/USA/NH-CDC-LC0015909/2021	ncov	2021-02-09	North America	USA	EPI_ISL_1163130
hCoV-19/Canada/Qc-L00289634/2020	ncov	2020-09-18	North America	Canada	EPI_ISL_1365911
hCoV-19/Australia/VIC18133/2020	ncov	2020-08-19	Oceania	Australia	EPI_ISL_1033144
hCoV-19/Norway/7365/2020	ncov	2020-12-08	Europe	Norway	EPI_ISL_1251376
hCoV-19/SintMaarten/SX-RIVM-10806/2021	ncov	2021-01-21	Caribbean	Sint Maarten	EPI_ISL_1035244
hCoV-19/England/ALDP-12A1C71/2021	ncov	2021-02-11	Europe	United Kingdom	EPI_ISL_1043611
hCoV-19/PuertoRico/PR-CDC-S110/2020	ncov	2020-10-08	Caribbean	Puerto Rico	EPI_ISL_940977
hCoV-19/England/RAND-1277940/2021	ncov	2021-02-02	Europe	United Kingdom	EPI_ISL_1045333
hCoV-19/England/MILK-11A6ABF/2021	ncov	2021-01-29	Europe	United Kingdom	EPI_ISL_1050699
hCoV-19/England/PHWC-4BEC81/2021	ncov	2021-01-25	Europe	United Kingdom	EPI_ISL_1051964
hCoV-19/Aruba/AW-RIVM-11403/2021	ncov	2021-01-28	Caribbean	Aruba	EPI_ISL_1014350
hCoV-19/India/MZ-ZMC4912H/2020	ncov	2020-11-30	Asia	India	EPI_ISL_1419079
hCoV-19/Germany/BW-RKI-I-040118/2021	ncov	2021-01-19	Europe	Germany	EPI_ISL_1286479
hCoV-19/USA/WI-WSLH-201761/2020	ncov	2020-12-22	North America	USA	EPI_ISL_942079
hCoV-19/Mayotte/IPP00969/2021	ncov	2021-01-14	Africa	Mayotte	EPI_ISL_1013180
hCoV-19/India/WB-1930600113045/2020	ncov	2020-10-21	Asia	India	EPI_ISL_1419845
hCoV-19/Scotland/QEUH-129F63C/2021	ncov	2021-02-14	Europe	United Kingdom	EPI_ISL_1063181
hCoV-19/Guadeloupe/IPP06253/2021	ncov	2021-02-26	Caribbean	Guadeloupe	EPI_ISL_1416981
hCoV-19/Japan/PG-24613/2021	ncov	2021-02-06	Asia	Japan	EPI_ISL_1430082
hCoV-19/Japan/PG-22601/2021	ncov	2021-01-15	Asia	Japan	EPI_ISL_1427282
hCoV-19/Aruba/AW-RIVM-13171/2021	ncov	2021-02-10	Caribbean	Aruba	EPI_ISL_1035782
hCoV-19/Germany/BE-RKI-I-057937/2021	ncov	2021-03-08	Europe	Germany	EPI_ISL_1441713
hCoV-19/USA/UT-UPHL-2102157505/2021	ncov	2021-01-05	North America	USA	EPI_ISL_983383
hCoV-19/USA/KS-CDC-STM-000004181/2021	ncov	2021-01-19	North America	USA	EPI_ISL_967483
hCoV-19/Martinique/MTQ-HCL021030968001/2021	ncov	2021-02-01	Caribbean	Martinique	EPI_ISL_1191725
hCoV-19/PuertoRico/PR-CDC-S117/2020	ncov	2020-10-02	Caribbean	Puerto Rico	EPI_ISL_940984
hCoV-19/Australia/VIC11091/2020	ncov	2020-07-31	Oceania	Australia	EPI_ISL_1055284
hCoV-19/Bolivia/Potosi-4/2021	ncov	2021-02-05	South America	Bolivia	EPI_ISL_1278284
hCoV-19/Japan/PG-28385/2021	ncov	2021-01-04	Asia	Japan	EPI_ISL_1432484
hCoV-19/Curacao/CW-RIVM-11651/2021	ncov	2021-01-25	Caribbean	Curacao	EPI_ISL_1014584
hCoV-19/Denmark/DCGC-35943/2021	ncov	2021-01-25	Europe	Denmark	EPI_ISL_927084
hCoV-19/Denmark/DCGC-44407/2021	ncov	2021-02-01	Europe	Denmark	EPI_ISL_1024785
hCoV-19/USA/TX-HMH-MCoV-23155/2021	ncov	2021-01-13	North America	USA	EPI_ISL_1077685
hCoV-19/SintMaarten/SX-RIVM-13877/2021	ncov	2021-02-16	Caribbean	Sint Maarten	EPI_ISL_1090269
hCoV-19/Portugal/PT2537/2021	ncov	2021-01-13	Europe	Portugal	EPI_ISL_941586
hCoV-19/Aruba/AW-RIVM-12812/2021	ncov	2021-02-08	Caribbean	Aruba	EPI_ISL_1035787
hCoV-19/Italy/ABR-IZSGC-142733/2021	ncov	2021-03-08	Europe	Italy	EPI_ISL_1336787
hCoV-19/Canada/BC-BCCDC-9832/2020	ncov	2020-10-02	North America	Canada	EPI_ISL_974050
hCoV-19/India/MH-NEERI-NGP-32663/2021	ncov	2021-01-28	Asia	India	EPI_ISL_1360350
hCoV-19/Japan/PG-22675/2020	ncov	2020-10-28	Asia	Japan	EPI_ISL_1427351
hCoV-19/USA/WI-GMF-54291/2021	ncov	2021-02-15	North America	USA	EPI_ISL_1113214
hCoV-19/Japan/PG-22908/2021	ncov	2021-01-27	Asia	Japan	EPI_ISL_1428789
hCoV-19/PuertoRico/PR-CDC-S79/2020	ncov	2020-08-20	Caribbean	Puerto Rico	EPI_ISL_940952
hCoV-19/Germany/BY-RKI-I-024408/2021	ncov	2021-02-16	Europe	Germany	EPI_ISL_1154581
hCoV-19/Guadeloupe/IPP06272/2021	ncov	2021-03-10	Caribbean	Guadeloupe	EPI_ISL_1416990
hCoV-19/Japan/PG-24129/2021	ncov	2021-01-29	Asia	Japan	EPI_ISL_1429714
hCoV-19/Japan/PG-26612/2021	ncov	2021-02-12	Asia	Japan	EPI_ISL_1431014
hCoV-19/Aruba/AW-RIVM-14459/2021	ncov	2021-02-19	Caribbean	Aruba	EPI_ISL_1165592
hCoV-19/Bahamas/33860/2020	ncov	2020-08-24	Caribbean	The Bahamas	EPI_ISL_1415392
hCoV-19/Mayotte/IPP02339/2021	ncov	2021-01-19	Africa	Mayotte	EPI_ISL_1166954
hCoV-19/Aruba/AW-RIVM-11553/2021	ncov	2021-01-28	Caribbean	Aruba	EPI_ISL_1014636
hCoV-19/Germany/BW-RKI-I-014656/2021	ncov	2021-01-27	Europe	Germany	EPI_ISL_1144794
hCoV-19/Bahamas/33857/2020	ncov	2020-11-16	Caribbean	The Bahamas	EPI_ISL_1415394
hCoV-19/Japan/PG-25606/2021	ncov	2021-01-21	Asia	Japan	EPI_ISL_1427694
hCoV-19/CostaRica/INC-0298/2021	ncov	2021-01-24	North America	Costa Rica	EPI_ISL_1379394
hCoV-19/USA/KS-KHEL-0248/2021	ncov	2021-01-21	North America	USA	EPI_ISL_1079894
hCoV-19/USA/TX-HMH-MCoV-22865/2020	ncov	2020-12-29	North America	USA	EPI_ISL_1077395
