strain	virus	date	region	country	gisaid_epi_isl
hCoV-19/England/ALDP-9BDC05/2020	ncov	2020-09-09	Europe	United Kingdom	EPI_ISL_567960
hCoV-19/England/CAMC-9B1C10/2020	ncov	2020-09-04	Europe	United Kingdom	EPI_ISL_566666
hCoV-19/Australia/VIC8962/2020	ncov	2020-07-28	Oceania	Australia	EPI_ISL_565314
hCoV-19/Australia/VIC8023/2020	ncov	2020-08-13	Oceania	Australia	EPI_ISL_564808
hCoV-19/Australia/VIC8174/2020	ncov	2020-08-13	Oceania	Australia	EPI_ISL_564884
hCoV-19/Australia/VIC8633/2020	ncov	2020-08-03	Oceania	Australia	EPI_ISL_565124
hCoV-19/Australia/VIC8716/2020	ncov	2020-07-27	Oceania	Australia	EPI_ISL_565154
hCoV-19/Australia/VIC7998/2020	ncov	2020-08-13	Oceania	Australia	EPI_ISL_564798
hCoV-19/Australia/VIC7980/2020	ncov	2020-08-13	Oceania	Australia	EPI_ISL_564787
hCoV-19/Australia/VIC9135/2020	ncov	2020-08-22	Oceania	Australia	EPI_ISL_565405
hCoV-19/Wales/MILK-9E0F3D/2020	ncov	2020-09-20	Europe	United Kingdom	EPI_ISL_580864
hCoV-19/England/QEUH-A1EFF9/2020	ncov	2020-09-29	Europe	United Kingdom	EPI_ISL_587356
hCoV-19/England/ALDP-A2D2D0/2020	ncov	2020-10-06	Europe	United Kingdom	EPI_ISL_586821
hCoV-19/Australia/NSW1141/2020	ncov	2020-10-03	Oceania	Australia	EPI_ISL_593751
hCoV-19/Australia/NSW1042/2020	ncov	2020-07-04	Oceania	Australia	EPI_ISL_593694
hCoV-19/Australia/VIC14201/2020	ncov	2020-09-04	Oceania	Australia	EPI_ISL_592385
hCoV-19/Australia/VIC11630/2020	ncov	2020-07-24	Oceania	Australia	EPI_ISL_591828
hCoV-19/Australia/VIC14715/2020	ncov	2020-07-27	Oceania	Australia	EPI_ISL_592966
hCoV-19/Australia/VIC13055/2020	ncov	2020-08-07	Oceania	Australia	EPI_ISL_592169
hCoV-19/Australia/VIC15507/2020	ncov	2020-08-01	Oceania	Australia	EPI_ISL_593341
hCoV-19/Australia/VIC15491/2020	ncov	2020-08-02	Oceania	Australia	EPI_ISL_593331
hCoV-19/Australia/NSW1006/2020	ncov	2020-10-11	Oceania	Australia	EPI_ISL_591513
hCoV-19/Australia/VIC15633/2020	ncov	2020-07-30	Oceania	Australia	EPI_ISL_593388
hCoV-19/Australia/NSW987/2020	ncov	2020-09-04	Oceania	Australia	EPI_ISL_591487
hCoV-19/Australia/NSW1014/2020	ncov	2020-10-13	Oceania	Australia	EPI_ISL_591486
hCoV-19/Australia/VIC15276/2020	ncov	2020-09-13	Oceania	Australia	EPI_ISL_593230
hCoV-19/England/QEUH-9FF144/2020	ncov	2020-10-02	Europe	United Kingdom	EPI_ISL_600423
hCoV-19/SouthAfrica/KRISP-K003740/2020	ncov	2020-09-29	Africa	South Africa	EPI_ISL_602917
hCoV-19/SouthAfrica/KRISP-K003479/2020	ncov	2020-09-14	Africa	South Africa	EPI_ISL_602811
hCoV-19/SouthAfrica/KRISP-K003387/2020	ncov	2020-09-10	Africa	South Africa	EPI_ISL_602775
hCoV-19/SouthAfrica/KRISP-K002897/2020	ncov	2020-09-04	Africa	South Africa	EPI_ISL_602709
hCoV-19/SouthAfrica/KRISP-K002880/2020	ncov	2020-09-04	Africa	South Africa	EPI_ISL_602692
hCoV-19/SouthAfrica/KRISP-K002841/2020	ncov	2020-09-01	Africa	South Africa	EPI_ISL_602657
hCoV-19/SouthAfrica/KRISP-K003721/2020	ncov	2020-10-07	Africa	South Africa	EPI_ISL_605788
hCoV-19/HongKong/HKPU-5052/2020	ncov	2020-09-24	Asia	Hong Kong	EPI_ISL_610194
