strain	virus	date	region	country
Argentina/INEI097370/2020	ncov	2020-11-25	South America	Argentina
Argentina/PAIS-A0382/2020	ncov	2020-08-31	South America	Argentina
Argentina/PAIS-G0082/2020	ncov	2020-07-24	South America	Argentina
Argentina/INEI096753/2020	ncov	2020-11-12	South America	Argentina
Argentina/PAIS-C0049/2020	ncov	2020-12-07	South America	Argentina
Argentina/PAIS-A0742/2020	ncov	2020-09-01	South America	Argentina
Argentina/PAIS-E0331/2021	ncov	2021-01-13	South America	Argentina
Argentina/PAIS-G0210/2021	ncov	2021-02-04	South America	Argentina
Aruba/AW-RIVM-11770/2021	ncov	2021-02-01	South America	Aruba
Aruba/AW-RIVM-11430/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-11383/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-14903/2021	ncov	2021-02-16	South America	Aruba
Aruba/AW-RIVM-11545/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-13180/2021	ncov	2021-02-10	South America	Aruba
Aruba/AW-RIVM-10793/2021	ncov	2021-01-20	South America	Aruba
Aruba/AW-RIVM-11403/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-13174/2021	ncov	2021-02-10	South America	Aruba
Aruba/AW-RIVM-10750/2021	ncov	2021-01-20	South America	Aruba
Aruba/AW-RIVM-13713/2021	ncov	2021-02-12	South America	Aruba
Aruba/AW-RIVM-10756/2021	ncov	2021-01-20	South America	Aruba
Aruba/AW-RIVM-14439/2021	ncov	2021-02-19	South America	Aruba
Aruba/AW-RIVM-14441/2021	ncov	2021-02-19	South America	Aruba
Aruba/AW-RIVM-14433/2021	ncov	2021-02-19	South America	Aruba
Aruba/AW-RIVM-14871/2021	ncov	2021-02-15	South America	Aruba
Aruba/AW-RIVM-14435/2021	ncov	2021-02-19	South America	Aruba
Aruba/AW-RIVM-11553/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-12797/2021	ncov	2021-02-08	South America	Aruba
Aruba/AW-RIVM-10748/2021	ncov	2021-01-20	South America	Aruba
Aruba/AW-RIVM-11395/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-10777/2021	ncov	2021-01-20	South America	Aruba
Aruba/AW-RIVM-11599/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-13772/2021	ncov	2021-02-12	South America	Aruba
Aruba/AW-RIVM-13675/2021	ncov	2021-02-12	South America	Aruba
Aruba/AW-RIVM-14438/2021	ncov	2021-02-19	South America	Aruba
Aruba/AW-RIVM-10524/2021	ncov	2021-01-13	South America	Aruba
Aruba/AW-RIVM-11771/2021	ncov	2021-02-01	South America	Aruba
Aruba/AW-RIVM-11557/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-11387/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-14506/2021	ncov	2021-02-19	South America	Aruba
Aruba/AW-RIVM-11741/2021	ncov	2021-02-01	South America	Aruba
Aruba/AW-RIVM-11759/2021	ncov	2021-02-01	South America	Aruba
Aruba/AW-RIVM-13695/2021	ncov	2021-02-12	South America	Aruba
Aruba/AW-RIVM-13701/2021	ncov	2021-02-12	South America	Aruba
Aruba/AW-RIVM-14849/2021	ncov	2021-02-15	South America	Aruba
Aruba/AW-RIVM-11762/2021	ncov	2021-02-01	South America	Aruba
Aruba/AW-RIVM-13729/2021	ncov	2021-02-12	South America	Aruba
Aruba/AW-RIVM-11767/2021	ncov	2021-02-01	South America	Aruba
Aruba/AW-RIVM-11591/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-11742/2021	ncov	2021-02-01	South America	Aruba
Aruba/AW-RIVM-11552/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-11547/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-11424/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-11423/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-16736/2021	ncov	2021-03-01	South America	Aruba
Aruba/AW-RIVM-15884/2021	ncov	2021-02-23	South America	Aruba
Aruba/AW-RIVM-19144/2021	ncov	2021-03-10	South America	Aruba
Aruba/AW-RIVM-16034/2021	ncov	2021-02-27	South America	Aruba
Aruba/AW-RIVM-16040/2021	ncov	2021-02-25	South America	Aruba
Aruba/AW-RIVM-16075/2021	ncov	2021-02-27	South America	Aruba
Aruba/AW-RIVM-16023/2021	ncov	2021-02-26	South America	Aruba
Aruba/AW-RIVM-16012/2021	ncov	2021-02-26	South America	Aruba
Aruba/AW-RIVM-15908/2021	ncov	2021-02-23	South America	Aruba
Aruba/AW-RIVM-16082/2021	ncov	2021-02-25	South America	Aruba
Aruba/AW-RIVM-16815/2021	ncov	2021-03-01	South America	Aruba
Aruba/AW-RIVM-16766/2021	ncov	2021-02-28	South America	Aruba
Aruba/AW-RIVM-16767/2021	ncov	2021-03-01	South America	Aruba
Aruba/AW-RIVM-16758/2021	ncov	2021-03-01	South America	Aruba
Aruba/AW-RIVM-16768/2021	ncov	2021-03-01	South America	Aruba
Aruba/AW-RIVM-16780/2021	ncov	2021-03-01	South America	Aruba
Aruba/AW-RIVM-16732/2021	ncov	2021-02-27	South America	Aruba
Aruba/AW-RIVM-17603/2021	ncov	2021-03-07	South America	Aruba
Aruba/AW-RIVM-17615/2021	ncov	2021-03-07	South America	Aruba
Aruba/AW-RIVM-17624/2021	ncov	2021-03-05	South America	Aruba
Aruba/AW-RIVM-17638/2021	ncov	2021-03-07	South America	Aruba
Aruba/AW-RIVM-20132/2021	ncov	2021-03-08	South America	Aruba
Aruba/AW-RIVM-20142/2021	ncov	2021-03-08	South America	Aruba
Aruba/AW-RIVM-20155/2021	ncov	2021-03-08	South America	Aruba
Aruba/AW-RIVM-22225/2021	ncov	2021-03-18	South America	Aruba
Aruba/AW-RIVM-22197/2021	ncov	2021-03-22	South America	Aruba
Aruba/AW-RIVM-22235/2021	ncov	2021-03-17	South America	Aruba
Aruba/AW-RIVM-16061/2021	ncov	2021-02-25	South America	Aruba
Aruba/AW-RIVM-15940/2021	ncov	2021-02-23	South America	Aruba
Aruba/AW-RIVM-16743/2021	ncov	2021-02-27	South America	Aruba
Aruba/AW-RIVM-18310/2021	ncov	2021-03-10	South America	Aruba
Aruba/AW-RIVM-17636/2021	ncov	2021-03-05	South America	Aruba
Aruba/AW-RIVM-17557/2021	ncov	2021-03-07	South America	Aruba
Aruba/AW-RIVM-18293/2021	ncov	2021-03-10	South America	Aruba
Aruba/AW-RIVM-18335/2021	ncov	2021-03-10	South America	Aruba
Aruba/AW-RIVM-23322/2021	ncov	2021-03-29	South America	Aruba
Aruba/AW-RIVM-23257/2021	ncov	2021-03-30	South America	Aruba
Aruba/AW-RIVM-23238/2021	ncov	2021-03-30	South America	Aruba
Aruba/AW-RIVM-23254/2021	ncov	2021-03-29	South America	Aruba
Aruba/AW-RIVM-23245/2021	ncov	2021-03-30	South America	Aruba
Aruba/AW-RIVM-23237/2021	ncov	2021-03-30	South America	Aruba
Aruba/AW-RIVM-23278/2021	ncov	2021-03-30	South America	Aruba
Aruba/AW-RIVM-23178/2021	ncov	2021-03-30	South America	Aruba
Aruba/AW-RIVM-23213/2021	ncov	2021-03-30	South America	Aruba
Aruba/AW-RIVM-23303/2021	ncov	2021-03-30	South America	Aruba
Aruba/AW-RIVM-23378/2021	ncov	2021-03-29	South America	Aruba
Aruba/AW-RIVM-23253/2021	ncov	2021-03-29	South America	Aruba
Aruba/AW-RIVM-23190/2021	ncov	2021-03-30	South America	Aruba
Aruba/AW-RIVM-16747/2021	ncov	2021-03-01	South America	Aruba
Aruba/AW-RIVM-22195/2021	ncov	2021-03-17	South America	Aruba
Aruba/AW-RIVM-22273/2021	ncov	2021-03-23	South America	Aruba
Aruba/AW-RIVM-15499/2021	ncov	2021-01-13	South America	Aruba
Aruba/AW-RIVM-15862/2021	ncov	2021-02-23	South America	Aruba
Aruba/AW-RIVM-17590/2021	ncov	2021-03-06	South America	Aruba
Aruba/AW-RIVM-22234/2021	ncov	2021-03-16	South America	Aruba
Australia/VIC9541/2020	ncov	2020-08-20	Oceania	Australia
Australia/VIC6984/2020	ncov	2020-07-23	Oceania	Australia
Australia/VIC4693/2020	ncov	2020-07-17	Oceania	Australia
Australia/VIC12439/2020	ncov	2020-08-01	Oceania	Australia
Australia/VIC17203/2020	ncov	2020-08-14	Oceania	Australia
Australia/VIC10702/2020	ncov	2020-07-30	Oceania	Australia
Australia/QLD1003/2020	ncov	2020-08-20	Oceania	Australia
Australia/NSW2503/2020	ncov	2020-07-04	Oceania	Australia
Australia/VIC12259/2020	ncov	2020-07-24	Oceania	Australia
Australia/VIC12455/2020	ncov	2020-07-30	Oceania	Australia
Australia/VIC15739/2020	ncov	2020-08-05	Oceania	Australia
Australia/VIC15046/2020	ncov	2020-07-29	Oceania	Australia
Australia/VIC5746/2020	ncov	2020-07-21	Oceania	Australia
Australia/VIC9772/2020	ncov	2020-07-13	Oceania	Australia
Australia/VIC15488/2020	ncov	2020-07-30	Oceania	Australia
Australia/VIC6749/2020	ncov	2020-07-26	Oceania	Australia
Australia/VIC17219/2020	ncov	2020-08-15	Oceania	Australia
Australia/VIC14298/2020	ncov	2020-08-04	Oceania	Australia
Australia/VIC4758/2020	ncov	2020-07-17	Oceania	Australia
Australia/VIC18040/2021	ncov	2021-01-01	Oceania	Australia
Australia/NSW-SAVID-4396/2021	ncov	2021-03-22	Oceania	Australia
Australia/VIC16823/2020	ncov	2020-08-12	Oceania	Australia
Austria/CeMM3529/2021	ncov	2021-01-26	Europe	Austria
Austria/CeMM4570/2021	ncov	2021-02-26	Europe	Austria
Bangladesh/DNAS_DRICM_isl_S-1/2020	ncov	2020-07-22	Asia	Bangladesh
Belgium/ULG-11486/2020	ncov	2020-09-18	Europe	Belgium
Belgium/ULG-12205/2021	ncov	2021-02-04	Europe	Belgium
Belgium/ULG-12492/2021	ncov	2021-02-11	Europe	Belgium
Belgium/UGent-325/2020	ncov	2020-12-14	Europe	Belgium
Belgium/ULG-10780/2020	ncov	2020-10-30	Europe	Belgium
Belgium/UGent-1405/2021	ncov	2021-01-19	Europe	Belgium
Belgium/UZA-UA-CV2035254404/2021	ncov	2021-02-06	Europe	Belgium
Belgium/ULG-11482/2020	ncov	2020-09-19	Europe	Belgium
Belgium/rega-3967/2021	ncov	2021-02-27	Europe	Belgium
Belgium/ULG-12897/2021	ncov	2021-03-03	Europe	Belgium
Belgium/Aalst-OLVZ-7987112/2021	ncov	2021-02-19	Europe	Belgium
Belgium/rega-4283/2021	ncov	2021-03-02	Europe	Belgium
Belgium/Jessa_55-2113-000028/2021	ncov	2021-03-29	Europe	Belgium
Belgium/rega-3807/2021	ncov	2021-02-24	Europe	Belgium
Belgium/rega-4764/2021	ncov	2021-03-05	Europe	Belgium
Belgium/UZA-UA-CV2132137495/2021	ncov	2021-03-22	Europe	Belgium
Belgium/CHUNamur1322374201/2021	ncov	2021-03-12	Europe	Belgium
Belgium/ULG-13375/2021	ncov	2021-03-17	Europe	Belgium
Belgium/Jessa_55-2112-001625/2021	ncov	2021-03-26	Europe	Belgium
Belgium/Brussels-03/2021	ncov	2021-03-25	Europe	Belgium
Belgium/rega-5468/2021	ncov	2021-03-19	Europe	Belgium
Belize/BZ-CML-TCMC-BZ009-1020/2020	ncov	2020-10-05	North America	Belize
Belize/BZ-CML-TCMC-BZ011-1020/2020	ncov	2020-10-06	North America	Belize
Belize/BZ-CML-TCMC-BZ012-1020/2020	ncov	2020-10-18	North America	Belize
Belize/BZ-CML-TCMC-BZ030-1220/2020	ncov	2020-12-26	North America	Belize
Belize/BZ-CML-TCMC-BZ032-1220/2020	ncov	2020-12-27	North America	Belize
Belize/BZ-CML-TCMC-BZ010-1020/2020	ncov	2020-10-06	North America	Belize
Belize/BZ-CML-TCMC-BZ013-1020/2020	ncov	2020-10-21	North America	Belize
Belize/BZ-CML-TCMC-BZ015-1020/2020	ncov	2020-10-21	North America	Belize
Belize/BZ-CML-TCMC-BZ016-1020/2020	ncov	2020-10-23	North America	Belize
Belize/BZ-CML-TCMC-BZ019-1220/2020	ncov	2020-12-07	North America	Belize
Belize/BZ-CML-TCMC-BZ021-1220/2020	ncov	2020-12-16	North America	Belize
Belize/BZ-CML-TCMC-BZ024-1220/2020	ncov	2020-12-19	North America	Belize
Belize/BZ-CML-TCMC-BZ027-1220/2020	ncov	2020-12-22	North America	Belize
Belize/BZ-CML-TCMC-BZ037-1220/2020	ncov	2020-12-30	North America	Belize
Belize/BZ-CML-TCMC-BZ039-0121/2021	ncov	2021-01-03	North America	Belize
Belize/BZ-CML-TCMC-BZ042-0121/2021	ncov	2021-01-05	North America	Belize
Belize/BZ-CML-TCMC-BZ044-0121/2021	ncov	2021-01-05	North America	Belize
Belize/BZ-CML-TCMC-BZ017-1020/2020	ncov	2020-10-25	North America	Belize
Belize/BZ-CML-TCMC-BZ014-1020/2020	ncov	2020-10-21	North America	Belize
Belize/CML-35/2021	ncov	2021-02-01	North America	Belize
Belize/BZ-CML-TCMC-BZ006-0920/2020	ncov	2020-09-18	North America	Belize
Belize/CML-7/2021	ncov	2021-01-19	North America	Belize
Belize/BZ-CML-TCMC-BZ002-0820/2020	ncov	2020-08-12	North America	Belize
Belize/CML-1/2021	ncov	2021-01-14	North America	Belize
Belize/CML-10/2021	ncov	2021-02-21	North America	Belize
Belize/BZ-CML-TCMC-BZ005-0820/2020	ncov	2020-08-28	North America	Belize
Belize/CML-2/2021	ncov	2021-01-13	North America	Belize
Belize/CML-99/2021	ncov	2021-03-07	North America	Belize
Belize/CML-92/2021	ncov	2021-02-07	North America	Belize
Belize/CML-101/2021	ncov	2021-01-07	North America	Belize
Belize/CML-20/2021	ncov	2021-01-26	North America	Belize
Belize/CML-14/2021	ncov	2021-01-21	North America	Belize
Belize/CML-18/2021	ncov	2021-01-25	North America	Belize
Belize/CML-23/2021	ncov	2021-01-26	North America	Belize
Belize/CML-25/2021	ncov	2021-01-27	North America	Belize
Belize/CML-30/2021	ncov	2021-01-27	North America	Belize
Belize/CML-32/2021	ncov	2021-01-28	North America	Belize
Belize/CML-45/2021	ncov	2021-02-12	North America	Belize
Belize/BZ-CML-TCMC-BZ003-0820/2020	ncov	2020-08-12	North America	Belize
Belize/CML-11/2021	ncov	2021-01-18	North America	Belize
Belize/BZ-CML-TCMC-BZ007-0920/2020	ncov	2020-09-23	North America	Belize
Belize/CML-27/2021	ncov	2021-01-27	North America	Belize
Belize/BZ-CML-TCMC-BZ008-1020/2020	ncov	2020-10-05	North America	Belize
Benin/NMIMR-316200/2021	ncov	2021-03-04	Africa	Benin
Bermuda/204990927/2020	ncov	2020-11-13	North America	Bermuda
Bermuda/204990915/2020	ncov	2020-10-31	North America	Bermuda
Bermuda/204990916/2020	ncov	2020-10-31	North America	Bermuda
Bermuda/204990918/2020	ncov	2020-11-06	North America	Bermuda
Bermuda/204990919/2020	ncov	2020-11-06	North America	Bermuda
Bermuda/204990920/2020	ncov	2020-11-08	North America	Bermuda
Bermuda/204990921/2020	ncov	2020-11-08	North America	Bermuda
Bermuda/204990922/2020	ncov	2020-11-10	North America	Bermuda
Bermuda/204990923/2020	ncov	2020-11-10	North America	Bermuda
Bermuda/204990924/2020	ncov	2020-11-10	North America	Bermuda
Bermuda/204990928/2020	ncov	2020-11-13	North America	Bermuda
Bermuda/204990929/2020	ncov	2020-11-18	North America	Bermuda
Bermuda/204990930/2020	ncov	2020-11-18	North America	Bermuda
Bermuda/204990917/2020	ncov	2020-11-05	North America	Bermuda
Bermuda/204990933/2020	ncov	2020-11-17	North America	Bermuda
Bermuda/205081286/2020	ncov	2020-10-29	North America	Bermuda
Bermuda/205081296/2020	ncov	2020-10-31	North America	Bermuda
Bermuda/205081298/2020	ncov	2020-11-03	North America	Bermuda
Bermuda/204990931/2020	ncov	2020-11-17	North America	Bermuda
Bermuda/205081288/2020	ncov	2020-10-29	North America	Bermuda
Bermuda/204990934/2020	ncov	2020-11-17	North America	Bermuda
Bermuda/205081292/2020	ncov	2020-10-31	North America	Bermuda
Bermuda/205081294/2020	ncov	2020-10-31	North America	Bermuda
Bermuda/205081299/2020	ncov	2020-11-04	North America	Bermuda
Bermuda/205081302/2020	ncov	2020-11-04	North America	Bermuda
Bermuda/205081304/2020	ncov	2020-10-31	North America	Bermuda
Bonaire/BQ-RIVM-15574/2021	ncov	2021-02-11	South America	Bonaire
Bonaire/BQ-RIVM-16934/2021	ncov	2021-03-01	South America	Bonaire
Bonaire/BQ-RIVM-16957/2021	ncov	2021-02-26	South America	Bonaire
Bonaire/BQ-RIVM-15597/2021	ncov	2021-02-09	South America	Bonaire
Bonaire/BQ-RIVM-15643/2021	ncov	2021-02-17	South America	Bonaire
Bonaire/BQ-RIVM-15889/2021	ncov	2021-02-18	South America	Bonaire
Bonaire/BQ-RIVM-15865/2021	ncov	2021-02-19	South America	Bonaire
Bonaire/BQ-RIVM-15901/2021	ncov	2021-02-18	South America	Bonaire
Bonaire/BQ-RIVM-16935/2021	ncov	2021-03-03	South America	Bonaire
Bonaire/BQ-RIVM-16958/2021	ncov	2021-02-28	South America	Bonaire
Bonaire/BQ-RIVM-16933/2021	ncov	2021-03-02	South America	Bonaire
Bonaire/BQ-RIVM-16943/2021	ncov	2021-02-28	South America	Bonaire
Bonaire/BQ-RIVM-16942/2021	ncov	2021-03-02	South America	Bonaire
Bonaire/BQ-RIVM-16926/2021	ncov	2021-03-03	South America	Bonaire
Bonaire/BQ-RIVM-16918/2021	ncov	2021-02-27	South America	Bonaire
Bonaire/BQ-RIVM-16925/2021	ncov	2021-03-01	South America	Bonaire
Bonaire/BQ-RIVM-16919/2021	ncov	2021-03-03	South America	Bonaire
Bonaire/BQ-RIVM-16966/2021	ncov	2021-02-26	South America	Bonaire
Bonaire/BQ-RIVM-17634/2021	ncov	2021-03-10	South America	Bonaire
Bonaire/BQ-RIVM-17622/2021	ncov	2021-03-04	South America	Bonaire
Bonaire/BQ-RIVM-17599/2021	ncov	2021-03-08	South America	Bonaire
Bonaire/BQ-RIVM-17564/2021	ncov	2021-03-06	South America	Bonaire
Bonaire/BQ-RIVM-17563/2021	ncov	2021-03-06	South America	Bonaire
Bonaire/BQ-RIVM-17575/2021	ncov	2021-03-05	South America	Bonaire
Bonaire/BQ-RIVM-21024/2021	ncov	2021-03-15	South America	Bonaire
Bonaire/BQ-RIVM-21017/2021	ncov	2021-03-14	South America	Bonaire
Bonaire/BQ-RIVM-21032/2021	ncov	2021-03-15	South America	Bonaire
Bonaire/BQ-RIVM-21015/2021	ncov	2021-03-07	South America	Bonaire
Bonaire/BQ-RIVM-21009/2021	ncov	2021-03-14	South America	Bonaire
Bonaire/BQ-RIVM-21007/2021	ncov	2021-03-07	South America	Bonaire
Bonaire/BQ-RIVM-21054/2021	ncov	2021-03-12	South America	Bonaire
Bonaire/BQ-RIVM-21060/2021	ncov	2021-03-07	South America	Bonaire
Bonaire/BQ-RIVM-22581/2021	ncov	2021-03-29	South America	Bonaire
Bonaire/BQ-RIVM-22610/2021	ncov	2021-03-19	South America	Bonaire
Bonaire/BQ-RIVM-22611/2021	ncov	2021-03-21	South America	Bonaire
Bonaire/BQ-RIVM-22621/2021	ncov	2021-03-19	South America	Bonaire
Bonaire/BQ-RIVM-22623/2021	ncov	2021-03-29	South America	Bonaire
Bonaire/BQ-RIVM-22613/2021	ncov	2021-03-29	South America	Bonaire
Bonaire/BQ-RIVM-22612/2021	ncov	2021-03-23	South America	Bonaire
Bonaire/BQ-RIVM-22567/2021	ncov	2021-03-18	South America	Bonaire
Bonaire/BQ-RIVM-22578/2021	ncov	2021-03-18	South America	Bonaire
Bonaire/BQ-RIVM-22559/2021	ncov	2021-03-22	South America	Bonaire
Bonaire/BQ-RIVM-22549/2021	ncov	2021-03-23	South America	Bonaire
Bonaire/BQ-RIVM-22550/2021	ncov	2021-03-29	South America	Bonaire
Bonaire/BQ-RIVM-15642/2021	ncov	2021-02-13	South America	Bonaire
Bonaire/BQ-RIVM-16213/2021	ncov	2021-02-19	South America	Bonaire
Bonaire/BQ-RIVM-16194/2021	ncov	2021-02-18	South America	Bonaire
Bonaire/BQ-RIVM-16971/2021	ncov	2021-03-02	South America	Bonaire
Bonaire/BQ-RIVM-16959/2021	ncov	2021-03-01	South America	Bonaire
Bonaire/BQ-RIVM-16951/2021	ncov	2021-02-28	South America	Bonaire
Bonaire/BQ-RIVM-16917/2021	ncov	2021-03-02	South America	Bonaire
Bonaire/BQ-RIVM-16973/2021	ncov	2021-03-02	South America	Bonaire
Bonaire/BQ-RIVM-16944/2021	ncov	2021-03-03	South America	Bonaire
Bonaire/BQ-RIVM-16964/2021	ncov	2021-02-27	South America	Bonaire
Bonaire/BQ-RIVM-15655/2021	ncov	2021-02-17	South America	Bonaire
Bonaire/BQ-RIVM-17623/2021	ncov	2021-03-09	South America	Bonaire
Bonaire/BQ-RIVM-17633/2021	ncov	2021-03-06	South America	Bonaire
Bonaire/BQ-RIVM-21031/2021	ncov	2021-03-11	South America	Bonaire
Bonaire/BQ-RIVM-21008/2021	ncov	2021-03-07	South America	Bonaire
Bonaire/BQ-RIVM-21046/2021	ncov	2021-03-12	South America	Bonaire
Bonaire/BQ-RIVM-21055/2021	ncov	2021-03-16	South America	Bonaire
Bonaire/BQ-RIVM-21040/2021	ncov	2021-03-16	South America	Bonaire
Bonaire/BQ-RIVM-21038/2021	ncov	2021-03-07	South America	Bonaire
Bonaire/BQ-RIVM-22590/2021	ncov	2021-03-21	South America	Bonaire
Bonaire/BQ-RIVM-22580/2021	ncov	2021-03-22	South America	Bonaire
Bonaire/BQ-RIVM-22568/2021	ncov	2021-03-20	South America	Bonaire
Bonaire/BQ-RIVM-22548/2021	ncov	2021-03-21	South America	Bonaire
Bonaire/BQ-RIVM-22547/2021	ncov	2021-03-19	South America	Bonaire
Bonaire/BQ-RIVM-22600/2021	ncov	2021-03-18	South America	Bonaire
Bonaire/BQ-RIVM-23580/2021	ncov	2021-03-29	South America	Bonaire
Bonaire/BQ-RIVM-23554/2021	ncov	2021-03-25	South America	Bonaire
Bonaire/BQ-RIVM-23555/2021	ncov	2021-03-26	South America	Bonaire
Bonaire/BQ-RIVM-23590/2021	ncov	2021-03-26	South America	Bonaire
Bonaire/BQ-RIVM-23602/2021	ncov	2021-03-30	South America	Bonaire
Bonaire/BQ-RIVM-23542/2021	ncov	2021-03-25	South America	Bonaire
Bonaire/BQ-RIVM-23519/2021	ncov	2021-03-23	South America	Bonaire
Bonaire/BQ-RIVM-23635/2021	ncov	2021-03-28	South America	Bonaire
Bonaire/BQ-RIVM-23507/2021	ncov	2021-03-22	South America	Bonaire
Bonaire/BQ-RIVM-23579/2021	ncov	2021-03-26	South America	Bonaire
Bonaire/BQ-RIVM-23556/2021	ncov	2021-03-28	South America	Bonaire
Bonaire/BQ-RIVM-15957/2021	ncov	2021-02-24	South America	Bonaire
Bonaire/BQ-RIVM-15608/2021	ncov	2021-02-06	South America	Bonaire
Bonaire/BQ-RIVM-15950/2021	ncov	2021-02-24	South America	Bonaire
Bonaire/BQ-RIVM-16950/2021	ncov	2021-02-26	South America	Bonaire
Bonaire/BQ-RIVM-15632/2021	ncov	2021-02-16	South America	Bonaire
Bonaire/BQ-RIVM-22622/2021	ncov	2021-03-21	South America	Bonaire
Bonaire/BQ-RIVM-22592/2021	ncov	2021-03-29	South America	Bonaire
Bonaire/BQ-RIVM-17576/2021	ncov	2021-03-06	South America	Bonaire
Bonaire/BQ-RIVM-23624/2021	ncov	2021-03-27	South America	Bonaire
Bonaire/BQ-RIVM-21016/2021	ncov	2021-03-11	South America	Bonaire
Bonaire/BQ-RIVM-21052/2021	ncov	2021-03-07	South America	Bonaire
Bonaire/BQ-RIVM-17610/2021	ncov	2021-03-04	South America	Bonaire
Brazil/AM-FIOCRUZ-20843351MC/2020	ncov	2020-12-28	South America	Brazil
Brazil/DF-1328/2020	ncov	2020-09-28	South America	Brazil
Brazil/SP-801164-NBD08/2021	ncov	2021-03-15	South America	Brazil
Brazil/RS-UFCSPA_LACEN-27494/2021	ncov	2021-03-15	South America	Brazil
Brazil/MG-FIOCRUZ-9376/2021	ncov	2021-02-20	South America	Brazil
Brazil/SE-FIOCRUZ-17926/2021	ncov	2021-02-27	South America	Brazil
Brazil/BA-FIOCRUZ-PVM58829/2021	ncov	2021-03-25	South America	Brazil
Brazil/SP-IB_100538/2021	ncov	2021-03-30	South America	Brazil
Brazil/SP-reBUT_352465169/2021	ncov	2021-03-22	South America	Brazil
Brazil/SP-reBUT_862044/2021	ncov	2021-03-28	South America	Brazil
Brazil/SP-reBUT_866461/2021	ncov	2021-03-31	South America	Brazil
Brazil/SP-2697/2021	ncov	2021-03-26	South America	Brazil
Brazil/SP-SJRP43950/2020	ncov	2020-11-09	South America	Brazil
Brazil/PR-IPEC-186/2021	ncov	2021-01-21	South America	Brazil
Brazil/CE-FIOCRUZ-00161/2021	ncov	2021-02-26	South America	Brazil
Brazil/SP-IB_100248/2021	ncov	2021-03-22	South America	Brazil
Brazil/SP-2753/2021	ncov	2021-03-12	South America	Brazil
Brazil/SC-FIOCRUZ-3324/2021	ncov	2021-01-02	South America	Brazil
Brazil/PR-FIOCRUZ-68344/2021	ncov	2021-03-28	South America	Brazil
Brazil/PR-FIOCRUZ-68377/2021	ncov	2021-03-22	South America	Brazil
Brazil/CE-L05_GATES-CD7642/2021	ncov	2021-03-18	South America	Brazil
Brazil/PR-FIOCRUZ-202159567/2020	ncov	2020-12-18	South America	Brazil
Bulgaria/21BG-EU_000321_Pl4/2021	ncov	2021-02-02	Europe	Bulgaria
Bulgaria/21BG-EU_000288_Pl4/2021	ncov	2021-01-29	Europe	Bulgaria
Bulgaria/21BG-EU_000013_Pl1/2021	ncov	2021-01-04	Europe	Bulgaria
Bulgaria/21BG-EU_000841_Pl9/2021	ncov	2021-03-04	Europe	Bulgaria
Bulgaria/21BG-EU_001617_Pl16/2021	ncov	2021-03-20	Europe	Bulgaria
Bulgaria/21BG-EU_001654_Pl16/2021	ncov	2021-03-07	Europe	Bulgaria
Canada/BC-BCCDC-6047/2020	ncov	2020-10-12	North America	Canada
Canada/ON-PPS-21012021_0088/2021	ncov	2021-01-19	North America	Canada
Canada/BC-BCCDC-8635/2020	ncov	2020-11-30	North America	Canada
Canada/ON-PPS-21012021_0096/2021	ncov	2021-01-19	North America	Canada
Canada/ON-PPS-00033/2020	ncov	2020-11-24	North America	Canada
Canada/BC-BCCDC-5439/2020	ncov	2020-08-17	North America	Canada
Canada/BC-BCCDC-9906/2020	ncov	2020-12-19	North America	Canada
Canada/BC-BCCDC-5121/2020	ncov	2020-09-10	North America	Canada
Canada/MB-NML-17731/2021	ncov	2021-02-25	North America	Canada
Canada/QC-IUCPQ-8142864605/2020	ncov	2020-12-18	North America	Canada
Canada/Qc-JUS-W217100199/2020	ncov	2020-10-17	North America	Canada
Canada/QC-IUCPQ-8142771610/2020	ncov	2020-12-05	North America	Canada
Canada/Qc-JUS-W309068899/2020	ncov	2020-11-09	North America	Canada
Canada/QC-HCLM-7056194206/2020	ncov	2020-12-11	North America	Canada
Canada/QC-1nDJXP-8143256770/2021	ncov	2021-03-01	North America	Canada
Canada/BC-BCCDC-38944/2021	ncov	2021-03-02	North America	Canada
Canada/BC-BCCDC-25123/2021	ncov	2021-03-02	North America	Canada
Canada/ABPHL-07760/2021	ncov	2021-02-25	North America	Canada
Canada/QC-1nIUH-5524273924/2021	ncov	2021-01-26	North America	Canada
Canada/BC-BCCDC-168760/2021	ncov	2021-03-02	North America	Canada
Canada/ON-SC4292/2020	ncov	2020-12-21	North America	Canada
